Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
Afghanistan,AFG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
Afghanistan,AFG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
Afghanistan,AFG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
Albania,ALB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
Albania,ALB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
Albania,ALB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
Albania,ALB,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
Algeria,DZA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
Algeria,DZA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
Algeria,DZA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
Algeria,DZA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
Algeria,DZA,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
